date,store_id,product_id,actual_demand,naive_prediction,linear_regression_prediction,random_forest_prediction
2025-12-01,S001,P001,71,62.00000000,67.61236552,64.10000000
2025-12-01,S001,P002,33,29.00000000,36.27824061,32.05000000
2025-12-01,S001,P005,68,86.00000000,78.33693731,71.63000000
2025-12-01,S001,P006,50,47.00000000,52.41535366,49.84000000
2025-12-01,S001,P007,40,29.00000000,38.21644138,38.02000000
2025-12-01,S001,P008,55,54.00000000,54.92045227,54.19000000
2025-12-01,S001,P009,33,34.00000000,41.65804882,41.00000000
2025-12-01,S001,P011,70,58.00000000,70.30225365,66.75000000
2025-12-01,S001,P012,27,25.00000000,27.25697045,24.86000000
2025-12-01,S001,P013,27,27.00000000,39.84712736,36.50000000
2025-12-01,S001,P014,49,49.00000000,45.82659891,41.42000000
2025-12-01,S001,P015,56,68.00000000,61.60295187,56.16000000
2025-12-01,S001,P016,74,75.00000000,87.50968169,77.93000000
2025-12-01,S001,P018,73,91.00000000,84.97858316,70.20000000
2025-12-01,S001,P019,55,58.00000000,55.09071489,54.57000000
2025-12-01,S001,P020,22,28.00000000,30.13813570,29.15000000
2025-12-01,S001,P022,86,102.00000000,95.62916299,87.06000000
2025-12-01,S001,P023,67,52.00000000,65.68574158,62.77000000
2025-12-01,S001,P025,45,53.00000000,48.23857994,46.77000000
2025-12-01,S001,P027,79,62.00000000,70.22632084,59.68000000
2025-12-01,S001,P028,69,86.00000000,84.27651698,74.61000000
2025-12-01,S001,P029,30,26.00000000,29.26394626,28.71000000
2025-12-01,S002,P001,51,37.00000000,43.73867261,40.10000000
2025-12-01,S002,P002,21,24.00000000,26.64037313,23.88000000
2025-12-01,S002,P003,37,34.00000000,38.65383443,34.64000000
2025-12-01,S002,P004,53,56.00000000,51.30794302,53.21000000
2025-12-01,S002,P006,29,32.00000000,33.18368484,28.14000000
2025-12-01,S002,P008,29,37.00000000,35.74283101,31.07000000
2025-12-01,S002,P010,30,24.00000000,28.44786916,29.02000000
2025-12-01,S002,P011,44,40.00000000,44.96975645,40.04000000
2025-12-01,S002,P012,19,17.00000000,18.89326381,16.05000000
2025-12-01,S002,P013,21,21.00000000,28.75712128,29.94000000
2025-12-01,S002,P015,39,45.00000000,43.57993718,38.22000000
2025-12-01,S002,P016,59,40.00000000,57.18225124,52.32000000
2025-12-01,S002,P017,57,65.00000000,59.32253214,59.06000000
2025-12-01,S002,P019,32,39.00000000,38.67599264,32.79000000
2025-12-01,S002,P020,17,18.00000000,21.42949338,18.42000000
2025-12-01,S002,P021,58,57.00000000,58.56944320,56.06000000
2025-12-01,S002,P022,48,59.00000000,60.18443616,56.47000000
2025-12-01,S002,P023,44,52.00000000,49.70734254,48.67000000
2025-12-01,S002,P026,66,63.00000000,63.03083713,57.42000000
2025-12-01,S002,P027,44,43.00000000,43.14354873,42.54000000
2025-12-01,S002,P029,13,18.00000000,20.63219779,18.59000000
2025-12-01,S002,P030,32,26.00000000,34.14906589,32.45000000
2025-12-01,S003,P001,45,36.00000000,43.24432372,43.58000000
2025-12-01,S003,P002,24,25.00000000,24.75934929,24.82000000
2025-12-01,S003,P004,40,54.00000000,54.69884911,53.03000000
2025-12-01,S003,P007,13,27.00000000,28.84280847,26.72000000
2025-12-01,S003,P008,33,35.00000000,37.81981081,32.83000000
2025-12-01,S003,P009,27,29.00000000,27.86345298,25.76000000
2025-12-01,S003,P010,26,23.00000000,28.28131604,26.71000000
2025-12-01,S003,P012,16,16.00000000,18.09809235,16.32000000
2025-12-01,S003,P015,37,38.00000000,40.32825781,38.11000000
2025-12-01,S003,P016,39,52.00000000,56.90112300,59.31000000
2025-12-01,S003,P017,58,44.00000000,55.16305315,47.77000000
2025-12-01,S003,P019,42,30.00000000,36.54196323,32.09000000
2025-12-01,S003,P020,20,18.00000000,20.38737263,18.28000000
2025-12-01,S003,P021,49,51.00000000,58.01701090,53.82000000
2025-12-01,S003,P022,45,60.00000000,56.48377456,50.44000000
2025-12-01,S003,P025,31,26.00000000,33.57557920,31.28000000
2025-12-01,S003,P026,64,53.00000000,56.11435752,49.27000000
2025-12-01,S003,P028,61,48.00000000,53.37989643,53.28000000
2025-12-01,S004,P001,21,20.00000000,22.11523766,19.98000000
2025-12-01,S004,P002,14,9.00000000,13.31923844,10.38000000
2025-12-01,S004,P003,18,16.00000000,19.42313803,15.22000000
2025-12-01,S004,P004,28,20.00000000,26.74614776,27.03000000
2025-12-01,S004,P005,22,23.00000000,25.13368303,24.37000000
2025-12-01,S004,P007,14,13.00000000,14.12649742,13.09000000
2025-12-01,S004,P008,13,18.00000000,19.73197946,15.13000000
2025-12-01,S004,P009,14,13.00000000,15.43334116,13.45000000
2025-12-01,S004,P011,26,20.00000000,22.38196351,19.91000000
2025-12-01,S004,P012,7,9.00000000,10.49182665,9.73000000
2025-12-01,S004,P013,13,13.00000000,15.56648031,12.76000000
2025-12-01,S004,P015,20,18.00000000,21.01592601,17.83000000
2025-12-01,S004,P016,28,23.00000000,29.19591296,29.78000000
2025-12-01,S004,P018,32,26.00000000,28.75958988,29.82000000
2025-12-01,S004,P019,21,17.00000000,20.41258618,17.31000000
2025-12-01,S004,P020,11,6.00000000,10.93947999,10.47000000
2025-12-01,S004,P023,24,25.00000000,23.74394641,23.82000000
2025-12-01,S004,P024,15,15.00000000,18.10472405,15.05000000
2025-12-01,S004,P025,19,13.00000000,16.56543144,14.11000000
2025-12-01,S004,P027,19,25.00000000,24.37775652,21.29000000
2025-12-01,S004,P028,27,26.00000000,28.04044506,25.09000000
2025-12-01,S004,P029,6,7.00000000,10.79926960,10.20000000
2025-12-01,S004,P030,15,17.00000000,19.08590957,14.82000000
2025-12-01,S005,P002,41,31.00000000,33.22760483,29.76000000
2025-12-01,S005,P003,50,45.00000000,52.08674432,48.01000000
2025-12-01,S005,P004,83,78.00000000,87.03964900,78.63000000
2025-12-01,S005,P005,74,76.00000000,74.20477284,79.67000000
2025-12-01,S005,P006,36,46.00000000,45.62661517,43.80000000
2025-12-01,S005,P008,50,49.00000000,50.60404358,46.75000000
2025-12-01,S005,P009,40,36.00000000,39.86682161,38.25000000
2025-12-01,S005,P010,37,42.00000000,41.80299740,34.87000000
2025-12-01,S005,P011,76,43.00000000,63.36484366,60.40000000
2025-12-01,S005,P013,39,39.00000000,39.93159304,34.98000000
2025-12-01,S005,P015,50,51.00000000,56.53623317,52.42000000
2025-12-01,S005,P016,84,97.00000000,84.15129636,74.42000000
2025-12-01,S005,P017,92,68.00000000,73.62045456,74.37000000
2025-12-01,S005,P018,79,74.00000000,77.03973841,76.69000000
2025-12-01,S005,P020,26,29.00000000,28.52322645,27.18000000
2025-12-01,S005,P021,96,66.00000000,79.33923325,70.94000000
2025-12-01,S005,P024,39,44.00000000,46.29883256,37.14000000
2025-12-01,S005,P025,41,40.00000000,45.24474824,45.52000000
2025-12-01,S005,P026,82,91.00000000,86.52496955,75.59000000
2025-12-01,S005,P028,71,81.00000000,79.06188748,74.75000000
2025-12-01,S005,P029,26,28.00000000,28.33239254,27.80000000
2025-12-01,S005,P030,59,49.00000000,49.85798333,48.57000000
2025-12-01,S006,P001,51,43.00000000,43.72606120,38.69000000
2025-12-01,S006,P002,21,26.00000000,25.75649125,23.82000000
2025-12-01,S006,P003,39,30.00000000,34.91772060,32.30000000
2025-12-01,S006,P004,61,60.00000000,59.80473831,51.96000000
2025-12-01,S006,P005,45,39.00000000,48.65677531,45.83000000
2025-12-01,S006,P006,32,34.00000000,34.02841238,32.43000000
2025-12-01,S006,P007,28,22.00000000,27.35418883,26.84000000
2025-12-01,S006,P008,36,34.00000000,37.58486321,33.05000000
2025-12-01,S006,P009,32,23.00000000,27.01601098,26.53000000
2025-12-01,S006,P010,25,29.00000000,28.75798036,27.47000000
2025-12-01,S006,P011,35,44.00000000,45.39090710,46.27000000
2025-12-01,S006,P014,31,31.00000000,31.94033679,29.69000000
2025-12-01,S006,P015,44,35.00000000,42.13876563,38.01000000
2025-12-01,S006,P016,50,73.00000000,62.02104766,55.66000000
2025-12-01,S006,P017,48,54.00000000,53.63618810,51.79000000
2025-12-01,S006,P019,39,29.00000000,36.03104868,34.29000000
2025-12-01,S006,P021,47,61.00000000,56.85924548,54.50000000
2025-12-01,S006,P022,78,52.00000000,61.06623204,58.87000000
2025-12-01,S006,P024,24,23.00000000,31.37493850,28.93000000
2025-12-01,S006,P025,35,33.00000000,33.47493947,31.72000000
2025-12-01,S006,P026,58,57.00000000,58.88885562,52.31000000
2025-12-01,S006,P027,39,41.00000000,46.44853196,45.87000000
2025-12-01,S006,P029,11,24.00000000,21.71958281,18.17000000
2025-12-01,S006,P030,23,30.00000000,36.65364657,32.47000000
2025-12-01,S007,P001,32,38.00000000,38.12896785,31.18000000
2025-12-01,S007,P002,17,23.00000000,23.08373662,19.77000000
2025-12-01,S007,P003,27,35.00000000,33.01927672,27.11000000
2025-12-01,S007,P005,45,44.00000000,42.75095997,36.12000000
2025-12-01,S007,P008,34,23.00000000,29.81927723,28.45000000
2025-12-01,S007,P009,21,24.00000000,23.83198274,19.87000000
2025-12-01,S007,P010,21,25.00000000,26.37753172,23.49000000
2025-12-01,S007,P014,25,24.00000000,26.71858352,25.36000000
2025-12-01,S007,P015,30,37.00000000,34.40439792,29.36000000
2025-12-01,S007,P016,58,41.00000000,48.04050370,48.66000000
2025-12-01,S007,P018,43,51.00000000,49.43947362,51.14000000
2025-12-01,S007,P021,50,55.00000000,51.64275041,47.00000000
2025-12-01,S007,P022,57,52.00000000,50.30360635,45.26000000
2025-12-01,S007,P024,28,32.00000000,30.20073137,27.70000000
